artist,avg_popularity,unique_tracks,penalty,adjusted_popularity,normalized_popularity,lineup_tier,cost_to_hire,revenue,tickets_sold
Sabrina Carpenter,0.329951483,17,0.459459459,0.15159933,1,Headliner,,,
Taylor Swift,0.215096437,43,0.682539683,0.146811854,0.968417053,Headliner,,,
Bad Bunny,0.262503616,24,0.545454545,0.14318379,0.944482745,Headliner,,435180000,277334
Billie Eilish,0.318379111,15,0.428571429,0.13644819,0.900048039,Headliner,2175000,126450000,1090207
Kendrick Lamar,0.224953519,30,0.6,0.134972112,0.890310358,Headliner,761250,,
Tyler The Creator,0.28642049,17,0.459459459,0.131598603,0.868055349,Headliner,,,
SZA,0.24684863,20,0.5,0.123424315,0.814129626,Headliner,,,
Morgan Wallen,0.327474632,12,0.375,0.122802987,0.810030732,Headliner,,,
Kanye West,0.186086696,33,0.622641509,0.115865302,0.76426287,Headliner,1450000,,
Post Malone,0.220809612,22,0.523809524,0.115662178,0.762922864,Headliner,1450000,69540000,488101
Ariana Grande,0.207754891,24,0.545454545,0.11332085,0.747477139,Headliner,,,
Zach Bryan,0.213072731,21,0.512195122,0.109134813,0.719861888,Headliner,,,
Ty Dolla $ign,0.179444827,31,0.607843137,0.109074307,0.719462727,Headliner,50750,,
Chappell Roan,0.352567799,8,0.285714286,0.100733657,0.664439519,Headliner,,,
J. Cole,0.21588373,16,0.444444444,0.095948324,0.632870715,Headliner,725000,,
Beyonce,0.169360574,26,0.565217391,0.095725542,0.63140102,Headliner,,,
Future,0.14678818,37,0.649122807,0.095283555,0.628485238,Headliner,58000,,
Eminem,0.17554685,20,0.5,0.087773425,0.578940961,Headliner,,,
Metro Boomin,0.140267352,31,0.607843137,0.085260547,0.562363527,Headliner,,,
Megan Thee Stallion,0.241914813,4,0.166666667,0.040319135,0.265885356,Co-Headliner,,,
Doja Cat,0.2920322,3,0.130434783,0.038091157,0.251187395,Co-Headliner,,,
Gunna,0.283271149,3,0.130434783,0.036948411,0.243648709,Co-Headliner,,,
ROSE,0.278379573,3,0.130434783,0.036310379,0.239439619,Co-Headliner,,,
Neton Vega,0.272651332,3,0.130434783,0.035563217,0.234510597,Co-Headliner,,,
Kali Uchis,0.386567196,2,0.090909091,0.035142472,0.231734947,Co-Headliner,,,
Kelly Clarkson,0.263041073,3,0.130434783,0.034309705,0.226241187,Co-Headliner,580000,,
Central Cee,0.258705929,3,0.130434783,0.033744252,0.222510894,Co-Headliner,,,
KAROL G,0.258583895,3,0.130434783,0.033728334,0.222405887,Co-Headliner,,89470000,691454
Gigi Perez,0.362525031,2,0.090909091,0.032956821,0.21731622,Co-Headliner,,,
Jelly Roll,0.195619063,4,0.166666667,0.032603177,0.214983235,Co-Headliner,,,
Yeat,0.137692853,6,0.230769231,0.031775274,0.209521562,Co-Headliner,,,
Blake Shelton,0.242067094,3,0.130434783,0.031573969,0.208193554,Co-Headliner,,,
Dua Lipa,0.231280893,3,0.130434783,0.030167073,0.198912273,Co-Headliner,1087000,101350000,1310602
Nicki Minaj,0.231214172,3,0.130434783,0.03015837,0.198854861,Co-Headliner,688750,,
Jose Feliciano,0.230836631,3,0.130434783,0.030109126,0.198529996,Co-Headliner,50750,,
Teddy Swims,0.630294343,1,0.047619048,0.030014016,0.197902559,Co-Headliner,,,
Richy Mitch & The Coal Miners,0.283405393,1,0.047619048,0.013495495,0.088929992,Support,,,
Chuwi,0.282162066,1,0.047619048,0.013436289,0.08853941,Support,,,
Sophie Ellis-Bextor,0.280186607,1,0.047619048,0.013342219,0.087918835,Support,,,
leftovermax,0.27951715,1,0.047619048,0.01331034,0.08770853,Support,,,
Rauw Alejandro,0.279514694,1,0.047619048,0.013310224,0.087707758,Support,,,
Lay Bankz,0.278339239,1,0.047619048,0.013254249,0.087338498,Support,,,
Harry Styles,0.27651715,1,0.047619048,0.013167483,0.086766102,Support,1196250,244010000,1900975
Addison Rae,0.27514057,1,0.047619048,0.013101932,0.08633366,Support,,,
Childish Gambino,0.143887467,2,0.090909091,0.013080679,0.086193453,Support,1087500,,
RaiNao,0.274634753,1,0.047619048,0.013077845,0.086174761,Support,,,
ILLIT,0.27321372,1,0.047619048,0.013010177,0.085728354,Support,,,
John Scott Trotter & His Orchestra,0.272751146,1,0.047619048,0.01298815,0.08558304,Support,,,
John Williams,0.272555849,1,0.047619048,0.01297885,0.085521689,Support,,,
Santigold,0.272244006,1,0.047619048,0.012964,0.085423726,Support,58000,,
ScHoolboy Q,0.272244006,1,0.047619048,0.012964,0.085423726,Support,108750,,
Hotel Ugly,0.270953201,1,0.047619048,0.012902533,0.085018229,Support,,,
Lil Jon,0.270808047,1,0.047619048,0.012895621,0.08497263,Support,,,
Ludacris,0.270808047,1,0.047619048,0.012895621,0.08497263,Support,87000,,
Steve Lacy,0.270332454,1,0.047619048,0.012872974,0.084823226,Support,,,
Miguel,0.270073879,1,0.047619048,0.012860661,0.084741997,Support,65250,,
Florence + The Machine,0.268937005,1,0.047619048,0.012806524,0.084384856,Support,,,
Sly Pyper,0.140757586,2,0.090909091,0.012796144,0.08431638,Support,,,
Luis R Conriquez,0.267036939,1,0.047619048,0.012716045,0.083787965,Support,,,
